0.8421052631578951, 0.19169960474308304, 0.5721925133689839, 0.25773195876288657, 0.6195652173913043, 0.6275862068965518, 0.5738396624472573, 0.28301886792452835, 0.5930599369085173, 0.3720136518771331, 0.45528455284552855, 0.9706959706959706, 0.5613409415121255; 1.0, 0.0, 0.0
0.5710526315789473, 0.20553359683794467, 0.41711229946524064, 0.030927835051546393, 0.32608695652173914, 0.5758620689655173, 0.5105485232067509, 0.2452830188679245, 0.2744479495268139, 0.26450511945392485, 0.4634146341463415, 0.7802197802197801, 0.5506419400855921; 1.0, 0.0, 0.0
1.0, 0.17786561264822134, 0.4331550802139036, 0.17525773195876293, 0.2934782608695653, 0.6275862068965518, 0.5569620253164557, 0.3018867924528301, 0.49526813880126186, 0.33447098976109213, 0.48780487804878053, 0.5787545787545789, 0.5470756062767476; 1.0, 0.0, 0.0
0.8131578947368419, 0.14624505928853757, 0.5133689839572192, 0.31958762886597947, 0.2717391304347826, 0.42068965517241386, 0.44092827004219404, 0.2452830188679245, 0.3659305993690852, 0.31740614334470985, 0.5609756097560976, 0.5677655677655677, 0.7146932952924394; 1.0, 0.0, 0.0
0.6868421052631581, 0.46640316205533605, 0.6417112299465241, 0.2371134020618556, 0.5000000000000001, 0.5931034482758621, 0.5675105485232066, 0.07547169811320756, 0.3943217665615142, 0.325938566552901, 0.39024390243902435, 0.7655677655677655, 0.40442225392296727; 1.0, 0.0, 0.0
0.47894736842105257, 0.16996047430830044, 0.6203208556149732, 0.3711340206185567, 0.2717391304347826, 0.5172413793103449, 0.42827004219409276, 0.2452830188679245, 0.3312302839116719, 0.22610921501706485, 0.4959349593495936, 0.8644688644688645, 0.5256776034236805; 1.0, 0.0, 0.0
0.6499999999999999, 0.2114624505928854, 0.6684491978609625, 0.48453608247422686, 0.28260869565217395, 0.5344827586206896, 0.4789029535864978, 0.28301886792452835, 0.3943217665615142, 0.1911262798634812, 0.5203252032520327, 0.9340659340659341, 0.40442225392296727; 1.0, 0.0, 0.0
0.7473684210526317, 0.22924901185770755, 0.7700534759358287, 0.45360824742268036, 0.4021739130434784, 0.6793103448275863, 0.5548523206751055, 0.4528301886792453, 0.42586750788643535, 0.27474402730375425, 0.6260162601626016, 0.7802197802197801, 0.4543509272467904; 1.0, 0.0, 0.0
0.7105263157894739, 0.15019762845849807, 0.716577540106952, 0.6134020618556701, 0.3369565217391305, 0.6965517241379311, 0.6139240506329113, 0.3018867924528301, 0.6214511041009463, 0.37713310580204773, 0.5772357723577235, 0.5274725274725274, 0.7182596291012839; 1.0, 0.0, 0.0
0.6973684210526314, 0.2154150197628459, 0.5347593582887699, 0.3402061855670103, 0.3695652173913043, 0.496551724137931, 0.4957805907172995, 0.5471698113207547, 0.49211356466876965, 0.21843003412969278, 0.6097560975609757, 0.5860805860805862, 0.5078459343794579; 1.0, 0.0, 0.0
